Feature,Importance
top_dept_spend,0.8713076016867446
total_items,0.03761370282098853
avg_transaction_value,0.025814686685088503
unique_products,0.020787951691486017
campaigns_participated,0.008059619206006046
total_retail_discount,0.006943315118878353
total_baskets,0.005371327522091258
basket_frequency,0.0048516226762659155
unique_stores_visited,0.003998931237461056
active_weeks,0.0036661595622868265
day_span,0.0034822294657376063
total_coupon_match_discount,0.0034564288891915608
total_coupon_discount,0.002384746912293117
coupons_redeemed,0.002261676525480613
