Feature,Coefficient,StdError,P-Value,Significant
basket_frequency,3274.3097886858295,3362.2091001794997,0.3306627822426681,False
avg_transaction_value,700.6540585139627,70.72813762280013,5.1140082149867155e-21,True
coupons_redeemed,24.34922391803597,10.139000651072276,0.016740034092467646,True
active_weeks,12.23958036816427,5.202403874778731,0.019078273092814638,True
total_coupon_match_discount,12.197013722100067,5.3234841677434614,0.022425363256566036,True
campaigns_participated,12.050089706370017,18.175429021592965,0.5076854595080174,False
unique_products,2.07774153305942,0.1805307536898509,5.629360099418269e-27,True
top_dept_spend,1.3228128810430302,0.042740139509012016,1.6433050761506891e-112,True
day_span,0.8076557611558077,2.1990455094992503,0.7135900331454905,False
total_retail_discount,0.11891184200184962,0.10563888355378319,0.26092957586283716,False
total_items,0.0018017017289693065,0.00014670635941591842,5.1592228362042905e-30,True
total_coupon_discount,-0.5285306050590509,1.2288201316716503,0.6673245583821419,False
total_baskets,-4.299780493020894,5.301298920130775,0.41775791595692946,False
unique_stores_visited,-4.7727151934243786,11.37754035888843,0.675065954125735,False
