Feature,Coefficient,StdError,P-Value,Significant
basket_frequency,358.5117088113808,898.8164191229721,0.6900548677236229,False
avg_transaction_value,90.21768648715522,8.654415874854203,1.772844105224456e-24,True
campaigns_participated,22.026321886294813,6.257312244378107,0.00044653659652532516,True
coupons_redeemed,18.452934674080286,9.980514670017003,0.06470328249886684,False
total_coupon_match_discount,10.745256135793682,4.837480626011472,0.026508423898760167,True
active_weeks,3.6182162388253727,0.9764803991631102,0.0002200903022306709,True
unique_products,1.3336813828573446,0.0836734249322608,2.5885647928811924e-52,True
top_dept_spend,1.1051166345007535,0.026799116344888553,3.464861067398719e-237,True
total_items,0.0019162242773973642,0.00012628329449855102,5.995302806329497e-48,True
day_span,-0.054034697195105695,0.1718404844628192,0.7532329310543657,False
total_retail_discount,-0.2965550333074022,0.06612102698305108,7.943914849715469e-06,True
total_baskets,-0.5240857789247539,1.4798501884519828,0.7232864048588208,False
total_coupon_discount,-1.0711805925993514,1.270439766089987,0.39929799138995914,False
unique_stores_visited,-4.976552458223896,2.639533476159971,0.05960339546699461,False
