Feature,Importance
top_dept_spend,0.9197364066367029
total_items,0.018115032083470577
unique_products,0.017198295861700783
avg_transaction_value,0.016860624079457587
total_retail_discount,0.00724558713147677
active_weeks,0.004095519676552752
day_span,0.00295537833755284
basket_frequency,0.0027345024252065186
total_coupon_discount,0.002561900924001957
total_baskets,0.0024842925320090435
campaigns_participated,0.00238902354538133
unique_stores_visited,0.0016529646047701925
total_coupon_match_discount,0.001603953430619774
coupons_redeemed,0.00036651873109704426
