Feature,VIF
total_baskets,125.0943799679427
basket_frequency,118.16743731890816
top_dept_spend,7.456059065213299
unique_products,7.029099419788659
active_weeks,4.013345509915361
campaigns_participated,3.7897465396289904
total_items,3.240517820097624
avg_items_per_basket,2.3293055469824817
avg_basket_value,2.17487889553146
coupons_redeemed,1.2815569977915502
